asset,width,height,flagged_magenta_edge_pixels,review_decision
interior_alchemy_station,96,48,0,replaced: source detail and/or cutout quality
interior_anvil,48,48,0,replaced: source detail and/or cutout quality
interior_aquarium_table,96,48,0,replaced: source detail and/or cutout quality
interior_barrels,105,110,0,retained in this batch; see review scope and limitations
interior_bed_vertical,48,96,0,retained in this batch; see review scope and limitations
interior_bookshelf,158,199,0,retained in this batch; see review scope and limitations
interior_carpenter_table,1254,1254,0,retained in this batch; see review scope and limitations
interior_chair_east,48,48,0,replaced: source detail and/or cutout quality
interior_chair_north,48,48,0,replaced: source detail and/or cutout quality
interior_chair_south,48,48,0,replaced: source detail and/or cutout quality
interior_chair_west,48,48,0,replaced: source detail and/or cutout quality
interior_cooking_station,96,48,0,replaced: source detail and/or cutout quality
interior_cookpot_stand,48,48,0,replaced: source detail and/or cutout quality
interior_crates,121,120,0,retained in this batch; see review scope and limitations
interior_door_closed,48,48,0,retained in this batch; see review scope and limitations
interior_door_open,48,48,0,retained in this batch; see review scope and limitations
interior_floor_blend,48,48,0,retained in this batch; see review scope and limitations
interior_floor_blend_alt,48,48,0,retained in this batch; see review scope and limitations
interior_floor_bushy_planter,96,48,3,replaced: source detail and/or cutout quality
interior_floor_dark,48,48,0,retained in this batch; see review scope and limitations
interior_floor_flower_planter,48,48,15,retained in this batch; see review scope and limitations
interior_floor_leafy_plant,48,48,1,retained in this batch; see review scope and limitations
interior_floor_reed_pot,48,48,0,retained in this batch; see review scope and limitations
interior_floor_sapling_pot,48,48,0,replaced: source detail and/or cutout quality
interior_floor_shop,48,48,0,retained in this batch; see review scope and limitations
interior_floor_study,48,48,0,retained in this batch; see review scope and limitations
interior_floor_tavern,48,48,0,retained in this batch; see review scope and limitations
interior_floor_warm_a,48,48,0,retained in this batch; see review scope and limitations
interior_floor_warm_b,48,48,0,retained in this batch; see review scope and limitations
interior_floor_worn,48,48,0,retained in this batch; see review scope and limitations
interior_flower_pot,48,48,17,retained in this batch; see review scope and limitations
interior_flower_vase,48,48,8,retained in this batch; see review scope and limitations
interior_forge,48,48,0,replaced: source detail and/or cutout quality
interior_hearth_pot,48,48,0,retained in this batch; see review scope and limitations
interior_herb_drying_rack,96,48,3,retained in this batch; see review scope and limitations
interior_herb_planter,48,48,0,replaced: source detail and/or cutout quality
interior_herb_pot,48,48,0,retained in this batch; see review scope and limitations
interior_mortar_pestle,48,48,0,retained in this batch; see review scope and limitations
interior_oven,48,48,0,replaced: source detail and/or cutout quality
interior_planting_pot,48,48,1,retained in this batch; see review scope and limitations
interior_round_table,48,48,0,replaced: source detail and/or cutout quality
interior_rug_red,48,48,1,retained in this batch; see review scope and limitations
interior_rug_runner,48,48,2,replaced: source detail and/or cutout quality
interior_rug_teal,48,48,0,retained in this batch; see review scope and limitations
interior_seed_bowl,48,48,0,replaced: source detail and/or cutout quality
interior_shop_counter,96,48,0,replaced: source detail and/or cutout quality
interior_side_table,48,48,0,replaced: source detail and/or cutout quality
interior_sprout_planter,48,48,0,replaced: source detail and/or cutout quality
interior_stove,48,48,0,replaced: source detail and/or cutout quality
interior_tabletop_candle,48,48,0,retained in this batch; see review scope and limitations
interior_tabletop_meal,48,48,0,retained in this batch; see review scope and limitations
interior_tabletop_place_setting,48,48,0,retained in this batch; see review scope and limitations
interior_tavern_bar,96,48,0,replaced: source detail and/or cutout quality
interior_vine_trellis,48,96,17,retained in this batch; see review scope and limitations
interior_void_edge,48,48,0,retained in this batch; see review scope and limitations
interior_wall_corner,48,48,0,retained in this batch; see review scope and limitations
interior_wall_crystal_ornament,48,48,15,replaced: source detail and/or cutout quality
interior_wall_door_h_closed,48,48,41,retained: legacy architecture; edge fringe remains; not used by current modular wall renderer
interior_wall_door_h_open,48,48,28,retained: legacy architecture; edge fringe remains; not used by current modular wall renderer
interior_wall_door_v_closed,48,48,2,retained: legacy architecture; edge fringe remains; not used by current modular wall renderer
interior_wall_door_v_open,48,48,8,retained: legacy architecture; edge fringe remains; not used by current modular wall renderer
interior_wall_flower_pot,48,48,7,retained in this batch; see review scope and limitations
interior_wall_front_north,48,48,2,retained: legacy architecture; edge fringe remains; not used by current modular wall renderer
interior_wall_front_south,48,48,40,retained: legacy architecture; edge fringe remains; not used by current modular wall renderer
interior_wall_herb_rack,96,48,53,retained in this batch; see review scope and limitations
interior_wall_horizontal_cap,96,24,3,retained in this batch; see review scope and limitations
interior_wall_horizontal_center,48,48,0,retained in this batch; see review scope and limitations
interior_wall_horizontal_left,48,48,0,retained in this batch; see review scope and limitations
interior_wall_horizontal_right,48,48,0,retained in this batch; see review scope and limitations
